family,genus,species,authority,sp4,sp6,lifeform
Sapindaceae,Paullinia,glomerulosa,Radlk.,PAU4,PAULG2,LIANA
Sapindaceae,Paullinia,mallophyla,NA,NA,PAULMA,LIANA
Sapindaceae,Paullinia,pinnata,L.,PAU5,PAULPI,LIANA
Sapindaceae,Paullinia,pterocarpa,Triana & Planch.,PAU6,PAULPT,LIANA
Sapindaceae,Paullinia,rugosa,Benth. ex Radlk.,PAUR,PAULRU,LIANA
Sapindaceae,Paullinia,turbacensis,Kunth,PAUT,PAULTU,LIANA
Malvaceae,Pavonia,dasypetala,Turcz.,PAVD,LOPIDA,NA
Malvaceae,Pavonia,schiedeana,Steud.,PAVR,PAVORO,NA
Theaceae,Pelliciera,rhizophorae,,,PELLRH,NA
Fabaceae:Caesal.,Peltophorum,pterocarpum,,,PEL1IN,NA
Rubiaceae,Pentagonia,gymnopoda,,,PENTGY,S
Rubiaceae,Pentagonia,macrophylla,Benth.,PENM,PENTMA,U
Rubiaceae,Pentagonia,parvifolia,,,PENTPA,NA
Euphorbiaceae,Pera,arborea,Mutis,PERA,PERAAR,T
Euphorbiaceae,Pera,oppositifolia,,,PERAOP,NA
Moraceae,Perebea,angustifolia,,,PEREAN,NA
Moraceae,Perebea,guianensis,,,PEREGU,NA
Moraceae,Perebea,sp.1,NA,NA,PERE1,NA
Moraceae,Perebea,xanthochyma,H. Karst.,PERX,PEREXA,M
Cactaceae,Pereskia,bleo,,,PER1BL,S
Lauraceae,Persea,americana,Mill.,PER1,PERSAM,T
Phytolaccaceae,Petiveria,alliacea,L.,PET1,PETIAL,NA
Verbenaceae,Petrea,volubilis,L.,PETA,PETRAS,LIANA
Lauraceae,Phoebe,sp.1,NA,NA,PHOE1,NA
Rosaceae,Photinia,microcarpa,,,PHOTMI,NA
Bignoniaceae,Phryganocydia,corymbosa,(Vent.) Bureau ex K. Schum.,PHRC,PHRYCO,LIANA
Euphorbiaceae,Phyllanthus,chagres,NA,NA,PHYL1,NA
Euphorbiaceae,Phyllanthus,acuminatus,Vahl,PHYA,PHYLAC,S
Euphorbiaceae,Phyllanthus,skutchii,NA,NA,PHYLSK,NA
Arecaceae,Phytelephas,seemannii,,,PHYTSE,NA
Simaroubaceae,Picramnia,latifolia,Tul.,PICL,PICRLA,U
Simaroubaceae,Picramnia,sp.1,NA,NA,PICR1,NA
Piperaceae,Piper,aduncum,,,PIPEAD,S
Piperaceae,Piper,aequale,Vahl,PPAE,PIPEAE,S
Piperaceae,Piper,amalago,NA,NA,PIPEAM,NA
Piperaceae,Piper,arboreum,Aubl.,PPA1,PIPEA1,U
Piperaceae,Piper,aristolochiaefolium,(Trel.) Yunck.,PPA3,PIPEA2,VINE
Piperaceae,Piper,augustum,,,PIPEA4,S
Piperaceae,Piper,auritum,Kunth,PPAU,PIPEAU,U
Piperaceae,Piper,colonense,C. DC.,PPCU,PIPECU,S
Piperaceae,Piper,cordulatum,C. DC.,PPCO,PIPECO,S
Piperaceae,Piper,darienense,C. DC.,PPDA,PIPEDA,NA
Piperaceae,Piper,dilatatum,NA,NA,PIPEDI,NA
Piperaceae,Piper,fimbriulatum,,,PIPEFI,S
Piperaceae,Piper,grande,Vahl,PPGR,PIPEGR,U
Piperaceae,Piper,hirtellipetiolum,,,PIPEH2,S
Piperaceae,Piper,hispidum,Sw.,PPHI,PIPEHI,U
Piperaceae,Piper,imperialis,(Miq.) C. DC.,PPIM,PIPEIM,U
Piperaceae,Piper,longispicum,,,PIPELO,S
Piperaceae,Piper,marginatum,Jacq.,PPMA,PIPEMA,S
Piperaceae,Piper,multiplinervium,NA,NA,PIPEMU,LIANA
Piperaceae,Piper,perlasense,Vahl,PPPE,PIPEPE,S
Piperaceae,Piper,phytolaccifolium,,,PIPEPH,S
Piperaceae,Piper,reticulatum,L.,PPRE,PIPERE,U
Piperaceae,Piper,sancti-felicis,,,PIPESA,S
Piperaceae,Piper,schiedeanum,Steud.,PPCA,PIPECA,S
Piperaceae,Piper,sp.5,NA,NA,PIPE5,NA
Piperaceae,Piper,sp.6,NA,NA,PIPE6,NA
Piperaceae,Piper,sp.7,NA,NA,PIPE7,NA
Piperaceae,Piper,sp.8,NA,NA,PIPE8,NA
Nyctaginaceae,Pisonia,aculeata,L.,PISA,PISOAC,LIANA
Fabaceae,Pithecellobium,hymenaeifolium,(Willd.) Benth.,PITH,PIT1HY,LIANA
Fabaceae:Mimos.,Pithecellobium,lanceolatum,,,PIT1LA,NA
Fabaceae:Mimos.,Pithecellobium,unguis-cati,,,PIT1UN,NA
Bignoniaceae,Pithecoctenium,crucigerum,(L.) A.H. Gentry,PITC,PIT2CR,LIANA
Rubiaceae,Pittoniotis,trichantha,Griseb.,ANTT,ANTITR,NA
Fabaceae:Papil.,Platymiscium,pinnatum,(Jacq.) Dugand,PLAP,PLA1PI,T
Fabaceae:Papil.,Platypodium,elegans,Vogel,PLAE,PLA2EL,T
Bignoniaceae,Pleonotoma,variabilis,(Jacq.) Miers,PLEV,PLEOVA,LIANA
Flacourtiaceae,Pleuranthodendron,lindenii,,,PLE1LI,T
Lauraceae,Pleurothyrium,aff.hexaglandulosum,,,PLEUHE,NA
Lauraceae,Pleurothyrium,racemosum,,,PLEURA,NA
Lauraceae,Pleurothyrium,sp.2_(hoja_grande),,,PLEU2,NA
Myraceae,Plinia,cerrojefe,NA,NA,PLIN1,NA
Myrtaceae,Plinia,povedae,,,PLINPO,NA
Apocynaceae,Plumeria,rubra,,,PLUMAC,NA
Podocarpaceae,Podocarpus,guatemalensis,,,PODOGU,T
Podocarpaceae,Podocarpus,oleifolius,,,PODOOL,T
Rubiaceae,Pogonopus,exsertus,,,POGOSP,NA
Asteraceae,Pollalesta,discolor,,,POLLDI,NA
Rubiaceae,Posoqueria,latifolia,(Rudge) Roem. & Schult.,POSL,POSOLA,M
Rubiaceae,Posoqueria,maxima,NA,NA,POSOMA,NA
Rubiaceae,Posoqueria,sp.1_(hojas_chicas),,,POSO1,NA
Loganiaceae,Potalia,amara,,,POTAAM,NA
Moraceae,Poulsenia,armata,(Miq.) Standl.,POUA,POULAR,T
Cecropiaceae,Pourouma,bicolor,Mart.,POUB,POURBI,T
Cecropiaceae,Pourouma,minor,,,POURMI,T
Sapotaceae,Pouteria,buenaventurensis,,,POUTBU,T
Sapotaceae,Pouteria,bulliformis,,,POUTB1,NA
Sapotaceae,Pouteria,calistophylla,,,POUTC1,T
Sapotaceae,Pouteria,campechiana,,,POUTCA,M
Sapotaceae,Pouteria,congestifolia,,,POUTCO,NA
Sapotaceae,Pouteria,cuspidata,,,POUTCU,T
Sapotaceae,Pouteria,durlandii,,,POUTDU,NA
Sapotaceae,Pouteria,fossicola,Cronquist,POUF,POUTFO,T
Sapotaceae,Pouteria,foveolata,,,POUTF1,T
Sapotaceae,Pouteria,glomerata_ss:glomerata,,,POUTGL,NA
Sapotaceae,Pouteria,glomerata_ss:stylosa,,,POUTG1,NA
Sapotaceae,Pouteria,leptopedicellata,,,POUTLE,T
Sapotaceae,Pouteria,multiflora,,,POUTMU,NA
Sapotaceae,Pouteria,reticulata,(Engl.) Eyma,POUU,POUTRE,T
Sapotaceae,Pouteria,sclerocarpa.aff,,,POUTSC,NA
Sapotaceae,Pouteria,silvestris,,,POUTSY,NA
Sapotaceae,Pouteria,sp.10,NA,NA,POUT10,NA
Sapotaceae,Pouteria,sp.17,NA,NA,POUT17,NA
Sapotaceae,Pouteria,sp.18,NA,NA,POUT18,NA
Sapotaceae,Pouteria,sp.20,NA,NA,POUT20,NA
Sapotaceae,Pouteria,sp.21,NA,NA,POUT21,NA
Sapotaceae,Pouteria,sp.23,NA,NA,POUT23,NA
Sapotaceae,Pouteria,sp.27,NA,NA,POUT27,NA
Sapotaceae,Pouteria,sp.28,NA,NA,POUT28,NA
Sapotaceae,Pouteria,sp.3,NA,NA,POUT3,NA
Sapotaceae,Pouteria,sp.30,NA,NA,POUT30,NA
Sapotaceae,Pouteria,sp.4,NA,NA,POUT4,NA
Sapotaceae,Pouteria,sp.7,NA,NA,POUT7,NA
Sapotaceae,Pouteria,sp.8,NA,NA,POUT8,NA
Sapotaceae,Pouteria,sp.9,NA,NA,POUT9,NA
Sapotaceae,Pouteria,stipitata,Cronquist,POU2,POUTST,M
Sapotaceae,Pouteria,torta,,,POUTTO,M
Arecaceae,Prestoea,decurrens,,,PRESDE,NA
Apocynaceae,Prestonia,ipomaeifolia,A. DC.,PREI,PRESIP,LIANA
Apocynaceae,Prestonia,obovata,Standl.,PREO,PRESOB,LIANA
Apocynaceae,Prestonia,portobellensis,(Beurl.) Woodson,PREP,PRESPO,LIANA
Apocynaceae,Prestonia,quinquangularis,(Jacq.) Spreng.,PREA,PRESAC,VINE
Apocynaceae,Prestonia,sp.1,NA,NA,PRES1,LIANA
Apocynaceae,Prestonia,sp.2,NA,NA,PRES2,LIANA
Hippocrateaceae,Prionostemma,aspera,(Lam.) Miers,PRIA,PRI1AS,LIANA
Fabaceae:Caesal.,Prioria,copaifera,Griseb.,PRIC,PRI2CO,T
Flacourtiaceae,Prockia,crucis,,,PROCCR,U
Fabaceae:Mimos.,Prosopis,juliflora,,,PROSJU,NA
Burseraceae,Protium,aff.guianense,,,PROTGU,U
Burseraceae,Protium,confusum,(Rose) Pittier,PRO1,PROTSP,NA
Burseraceae,Protium,costaricense,(Rose) Engl.,PROC,PROTCO,M
Burseraceae,Protium,glabrum,(Rose) Engl.,PROG,PROTGL,U
Burseraceae,Protium,panamense,(Rose) I.M. Johnst.,PROP,PROTPA,M
Burseraceae,Protium,tenuifolium,Engl.,PROT,PROTTE,M
Burseraceae,Protium,tenuifolium_subsp.mcleodii,,,PROTT2,NA
Burseraceae,Protium,trifoliolatum,,,PROTTR,NA
Sapindaceae,Pseudima,sp.2,NA,NA,PSE32,NA
Bombacaceae,Pseudobombax,septenatum,(Jacq.) Dugand,PSE1,PSE1SE,T
Moraceae,Pseudolmedia,laevigata,,,PSE2LA,NA
Moraceae,Pseudolmedia,spuria,(Sw.) Griseb.,PSE2,PSE2SP,M
Fabaceae:Mimos.,Pseudosamanea,guachapele,(Kunth) Harms,ALBG,ALBIGU,T
Myrtaceae,Psidium,friedrichsthalianum,(O. Berg) Nied.,PSIF,PSIDFR,U
Myrtaceae,Psidium,guajava,L.,PSIG,PSIDGU,NA
Myrtaceae,Psidium,guineense,NA,NA,PSIDG1,NA
Cucurbitaceae,Psiguria,bignoniacea,(Poepp. & Endl.) Wunderlin,PSIB,PSIGBI,VINE
Cucurbitaceae,Psiguria,warscewiczii,(Hook. f.) Wunderlin,PSIW,PSIGWA,VINE
Rubiaceae,Psychotria,acuminata,Benth.,PYAC,PSYCAC,S
Rubiaceae,Psychotria,allenii,,,PSYCAL,NA
Rubiaceae,Psychotria,brachiata,Sw.,PYB1,PSYCB1,S
Rubiaceae,Psychotria,brachybotrya,Müll. Arg.,PYB2,PSYCB2,S
Rubiaceae,Psychotria,calophylla,,,PSYCCA,U
Rubiaceae,Psychotria,capitata,Ruiz & Pav.,PYC1,PSYCC1,S
Rubiaceae,Psychotria,carthagenensis,,PYC2,PSYCC2,NA
Rubiaceae,Psychotria,chagrensis,Standl.,PYCH,PSYCCH,S
Rubiaceae,Psychotria,cincta,,,PSYCCI,S
Rubiaceae,Psychotria,deflexa,DC.,PYDE,PSYCDE,S
Rubiaceae,Psychotria,elata,(Sw.) Hammel,PYEL,PSYCEL,S
Rubiaceae,Psychotria,emetica,L. f.,PYEM,PSYCEM,NA
Rubiaceae,Psychotria,erecta,(Aubl.) Standl. & Steyerm.,PYER,PSYCER,S
Rubiaceae,Psychotria,graciliflora,Benth.,PYG1,PSYCG1,S
Rubiaceae,Psychotria,grandis,Sw.,PYG3,PSYCG3,U
Rubiaceae,Psychotria,hoffmannseggiana,(Willd. ex Roem. & Schult.) Müll. Arg.,PYFU,PSYCFU,S
Rubiaceae,Psychotria,horizontalis,Sw.,PYHO,PSYCHO,S
Rubiaceae,Psychotria,ipecacuanha,(Brot.) Stokes,PYIP,PSYCIP,NA
Rubiaceae,Psychotria,limonensis,K. Krause,PYLI,PSYCLI,S
Rubiaceae,Psychotria,luxurians,,,PSYCLU,U
Rubiaceae,Psychotria,marginata,Sw.,PYMA,PSYCMA,S
Rubiaceae,Psychotria,micrantha,Kunth,PYMI,PSYCMI,S
Rubiaceae,Psychotria,nervosa,,,PSYCNE,S
Rubiaceae,Psychotria,panamensis,,,PSYCPA,NA
Rubiaceae,Psychotria,pittieri,Seem. ex Dombrain,PYPI,PSYCPI,S
Rubiaceae,Psychotria,poeppigiana,Müll. Arg.,PYPO,PSYCPO,S
Rubiaceae,Psychotria,psychotriifolia,(Seem.) Standl.,PYPS,PSYCPS,S
Rubiaceae,Psychotria,pubescens,Sw.,PYPU,PSYCPU,M
Rubiaceae,Psychotria,racemosa,Rich.,PYRA,PSYCRA,S
Rubiaceae,Psychotria,remota,,,PSYCRE,S
Rubiaceae,Psychotria,santaritensis,,,PSYCSA,U
Rubiaceae,Psychotria,sp.4,NA,NA,PSYC4,NA
Rubiaceae,Psychotria,suerrensis,Donn. Sm.,PYSU,PSYCSU,NA
Rubiaceae,Psychotria,tenuifolia,Sw.,PYG2,PSYCG2,S
Rubiaceae,Psychotria,umbelliformis,,,PSYCUM,U
Fabaceae:Papil.,Pterocarpus,acapulcensis,,,PTERAC,NA
Fabaceae:Papil.,Pterocarpus,officinalis,Jacq.,PTEO,PTEROF,NA
Fabaceae:Papil.,Pterocarpus,rohrii,Vahl,PTER,PTERRO,T
Fabaceae:Papil.,Pterocarpus,sp.2,NA,NA,PTER2,NA
Fabaceae:Papil.,Pterocarpus,sp.3,NA,NA,PTER3,NA
Vochysiaceae,Qualea,polychroma,,,QUALPO,T
Bombacaceae,Quararibea,asterolepis,Pittier,QUA1,QUARAS,T
Bombacaceae,Quararibea,asterolepis_ss:stenophylla,,,QUARA1,NA
Bombacaceae,Quararibea,platyphylla,,,QUARPL,NA
Bombacaceae,Quararibea,pterocalyx,Hemsl.,QUAP,QUARPT,M
Bombacaceae,Quararibea,pumila,,,QUARPU,NA
Bombacaceae,Quararibea,sp.3,NA,NA,QUAR3,NA
Bombacaceae,Quararibea,sp.4,NA,NA,QUAR4,NA
Simaroubaceae,Quassia,amara,L.,QUA2,QUASAM,U
Fagaceae,Quercus,insignis,NA,NA,QUERIN,NA
Celastraceae,Quetzalia,occidentalis,,,QUETOC,NA
Quiinaceae,Quiina,schippii,Standl.,QUIS,QUIISC,U
Rubiaceae,Randia,campo_chagres,,,RAND4,NA
Rubiaceae,Randia,aculeata,,,RANDAC,NA
Rubiaceae,Randia,armata,(Sw.) DC.,RANA,RANDAR,U
Rubiaceae,Randia,grandifolia,,,RANDGR,U
Rubiaceae,Randia,hondensis,,,RANDHO,NA
Rubiaceae,Randia,lasiantha,,,RANDLA,U
Rubiaceae,Randia,sp.2,NA,NA,RAND2,NA
Rubiaceae,Randia,sp.3,NA,NA,RAND3,NA
Arecaceae,Raphia,taedigera,,,RAPHTA,NA
Rubiaceae,Raritebe,palicoureoides,,,RARIPA,S
Apocynaceae,Rauvolfia,littoralis,Rusby,RAUL,RAUVLI,M
Apocynaceae,Rauvolfia,purpurascens,,,RAUVPU,NA
Apocynaceae,Rhabdadenia,biflora,(Jacq.) Müll. Arg.,RHAB,RHABBI,LIANA
Rhamnaceae,Rhamnus,sharpii,NA,NA,RHAMSH,NA
Rhizophoraceae,Rhizophora,mangle,,,RHIZMA,T
Fabaceae:faboid.,Rhynchosia,pyramidalis,(Lam.) Urb.,RHYP,RHYCPY,LIANA
Euphorbiaceae,Ricinus,communis,NA,NA,RICICO,NA
Violaceae,Rinorea,aff.apiculata,,,RINOAP,NA
Violaceae,Rinorea,crenata,,,RINOCR,U
Violaceae,Rinorea,dasyadena,,,RINODA,NA
Violaceae,Rinorea,hummelii,,,RINOHU,NA
Violaceae,Rinorea,lindeniana,,,RINOLI,S
Violaceae,Rinorea,sp.2,NA,NA,RINO2,NA
Violaceae,Rinorea,sp.3,NA,NA,RINO3,NA
Violaceae,Rinorea,squamata,S.F. Blake,RIN1,RINOSQ,U
Violaceae,Rinorea,sylvatica,(Seem.) Kuntze,RIN2,RINOSY,S
Annonaceae,Rollinia,mucosa,,,ROLLMU,M
Annonaceae,Rollinia,pittieri,,,ROLLPI,M
Rubiaceae,Rondeletia,amoena,,,RONDAM,NA
Rubiaceae,Rondeletia,buddleioides,,,RONDBU,U
Rubiaceae,Rondeletia,hameliifolia,,,RONDHA,NA
Rubiaceae,Rondeletia,panamensis,,,RONDPA,S
Rubiaceae,Rosenbergiodendron,formosum,(Jacq.) Fagerl.,RANF,RANDFO,U
Proteaceae,Roupala,montana,Aubl.,ROUM,ROUPMO,M
Proteaceae,Roupala,percoriacea,,,ROUPPE,U
Connaraceae,Rourea,glabra,Kunth,ROUG,ROURGL,LIANA
Arecaceae,Roystonea,regia,,,ROYSRE,T
Rubiaceae,Rudgea,cornifolia,,,RUDGCO,NA
Rubiaceae,Rudgea,isthmensis,,,RUDGIS,NA
Rubiaceae,Rudgea,pittieri,,,RUDGPI,U
Rubiaceae,Rudgea,skutchii,,,RUDGSK,NA
Rubiaceae,Rudgea,sp.1,NA,NA,RUDG1,NA
Polygonaceae,Ruprechtia,costata,,,RUPRCO,NA
Lepidobotryaceae,Ruptiliocarpon,caracolito,,,RUPTCA,NA
Flacourtiaceae,Ryania,speciosa,,,RYANSP,U
Rubiaceae,Sabicea,villosa,Willd. ex Roem. & Schult.,SABV,SABIVI,LIANA
Humiriaceae,Sacoglottis,ovicarpa,,,SACOOV,T
Humiriaceae,Sacoglottis,trichogyna,,,SACOTR,T
Hippocrateaceae,Salacia,juruana,,,SALAJU,U
Hippocrateaceae,Salacia,petenensis,,,SALAPE,U
Fabaceae:Mimos.,Samanea,saman,,,SAMASA,T
Sapindaceae,Sapindus,saponaria,L.,SAP2,SAP1SA,M
Euphorbiaceae,Sapium,broadleaf,Loes.,SAPS,SAPISP,T
Euphorbiaceae,Sapium,glandulosum,(L.) Morong,SAPG,SAPIAU,T
Euphorbiaceae,Sapium,laurifolium,NA,NA,SAPILA,NA
Euphorbiaceae,Sapium,pachystachys,NA,NA,SAPIPA,NA
Euphorbiaceae,Sapium,sp.2,NA,NA,SAPI2,NA
Sapotaceae,Sarcaulus,brasiliensis,,,SARCBR,NA
Actinidiaceae,Saurauia,montana,NA,NA,SAURMO,NA
Actinidiaceae,Saurauia,rubiformis,,,SAURRU,NA
Actinidiaceae,Saurauia,yasicae,Loes.,SAUY,SAURLA,M
Araliaceae,Schefflera,morototoni,"(Aubl.) Maguire, Steyerm. & Frodin",SCHM,SCH2MO,T
Fabaceae:Caesal.,Schizolobium,parahyba,(Vell.) S.F. Blake,SCHP,SCHIPA,T
Thymelaeaceae,Schoenobiblus,panamensis,,,SCHOPA,NA
Olacaceae,Schoepfia,vacciniiflora,NA,NA,SCH3VA,NA
Araliaceae,Sciadodendron,excelsum,,,SCIAEX,M
Menispermaceae,Sciadotenia,nitida,NA,NA,SCIANI,LIANA
Fabaceae:Caesal.,Sclerolobium,costaricense,,,SCLECO,T
Polygalaceae,Securidaca,diversifolia,(L.) S.F. Blake,SECD,SECUDI,LIANA
Fabaceae:Caesal.,Senna,bicapsularis,,,SENNBI,S
Fabaceae:Caesal.,Senna,dariensis,(Britton & Rose) H.S. Irwin & Barneby,SEND,SENNDA,S
Fabaceae:Caesal.,Senna,reticulata,(Willd.) H.S. Irwin & Barneby,SENR,SENNRE,NA
Fabaceae,Senna,undulata,NA,NA,SENNUN,LIANA
Sapindaceae,Serjania,atrolineata,C. Wright,SERA,SERJAT,LIANA
Sapindaceae,Serjania,circumvallata,Radlk.,SER1,SERJCI,LIANA
Sapindaceae,Serjania,cornigera,Turcz.,SER2,SERJCO,LIANA
Sapindaceae,Serjania,decapleuria,Croat,SERD,SERJDE,LIANA
Sapindaceae,Serjania,membranacea,NA,NA,SERJM1,LIANA
Sapindaceae,Serjania,mexicana,(L.) Willd.,SERM,SERJME,LIANA
Sapindaceae,Serjania,paucidentata,DC.,SER3,SERJPA,LIANA
Sapindaceae,Serjania,pluvialiflorens,Croat,SER4,SERJPL,LIANA
Sapindaceae,Serjania,rhombea,Radlk.,SERR,SERJRH,VINE
Sapindaceae,Serjania,trachygona,Radlk.,SERT,SERJTR,LIANA
Cucurbitaceae,Sicydium,coriaceum,Cogn.,SICC,SICYCO,VINE
Sapotaceae,Sideroxylon,capiri,,,SIDECA,NA
Sapotaceae,Sideroxylon,celastrinum,,,SIDECE,NA
Sapotaceae,Sideroxylon,persimile,,,SIDEPE,NA
Simaroubaceae,Simaba,cedron,,,SIM1CE,NA
Simaroubaceae,Simaba,polyphylla,,,SIM1PO,M
Simaroubaceae,Simarouba,amara,Aubl.,SIMA,SIMAAM,T
Monimiaceae,Siparuna,conica,,,SIPACO,NA
Monimiaceae,Siparuna,cuspidata,,,SIPACU,NA
Monimiaceae,Siparuna,grandiflora,,,SIPAGR,NA
Monimiaceae,Siparuna,guianensis,Aubl.,SIPG,SIPAGU,M
Monimiaceae,Siparuna,pauciflora,(Beurl.) A. DC.,SIPP,SIPAPA,U
Monimiaceae,Siparuna,sp.3,NA,NA,SIPA3,NA
Monimiaceae,Siparuna,sp.5,NA,NA,SIPA5,NA
Monimiaceae,Siparuna,thecaphora,,,SIPATH,NA
Elaeocarpaceae,Sloanea,cerrojefe,NA,NA,SLOACE,NA
Elaeocarpaceae,Sloanea,aff.laurifolia,,,SLOALA,NA
Elaeocarpaceae,Sloanea,medusula,,,SLOAM2,NA
Elaeocarpaceae,Sloanea,megaphylla,,,SLOAME,M
Elaeocarpaceae,Sloanea,meianthera,Donn. Sm.,SLOM,SLOAM1,NA
Elaeocarpaceae,Sloanea,sp.5,NA,NA,SLOA5,NA
Elaeocarpaceae,Sloanea,sp.6,NA,NA,SLOA6,NA
Elaeocarpaceae,Sloanea,sp.7,NA,NA,SLOA7,NA
Elaeocarpaceae,Sloanea,sp.8,NA,NA,SLOA8,NA
Elaeocarpaceae,Sloanea,sp.9,NA,NA,SLOA9,NA
Elaeocarpaceae,Sloanea,terniflora,(Sessé & Moc. ex DC.) Standl.,SLOT,SLOATE,T
Elaeocarpaceae,Sloanea,tuerckheimii,,,SLOATU,NA
Elaeocarpaceae,Sloanea,zuliaensis,NA,NA,SLOAZU,M
Smilacaceae,Smilax,domingensis,Willd.,SMIL,SMILLA,LIANA
Smilacaceae,Smilax,mollis,Humb. & Bonpl. ex Willd.,SMIM,SMILMO,VINE
Smilacaceae,Smilax,panamensis,Morong,SMIP,SMILPA,VINE
Smilacaceae,Smilax,sp.,NA,NA,SMIL,LIANA
Smilacaceae,Smilax,sp.1,NA,NA,SMIL1,LIANA
Smilacaceae,Smilax,spinosa,Mill.,SMI1,SMILS1,VINE
Smilacaceae,Smilax,spissa,Killip & C.V. Morton,SMI2,SMILS2,VINE
Arecaceae,Socratea,exorrhiza,(Mart.) H. Wendl.,SOCE,SOCREX,M
Solanaceae,Solanum,enves_purpura,,,SOLA5,NA
Solanaceae,Solanum,arboreum,Dunal,SOL2,SOLAAR,S
Solanaceae,Solanum,asperum,Rich.,SOL4,SOLAAS,S
Solanaceae,Solanum,aturense,NA,NA,SOLAAT,LIANA
Solanaceae,Solanum,circinatum,Bohs,CYPH,CYPHHA,NA
Solanaceae,Solanum,extensum,,,SOLAEX,S
Solanaceae,Solanum,hayesii,Fernald,SOLH,SOLAHA,M
Solanaceae,Solanum,jamaicense,,,SOLAJA,NA
Solanaceae,Solanum,lancaeifolium,Dunal,SOL5,SOLALA,VINE
Solanaceae,Solanum,siparunoides,NA,NA,SOLASI,NA
Solanaceae,Solanum,sp.3,NA,NA,SOLA3,NA
Solanaceae,Solanum,steyermarkii,Carvalho,SOL3,SOLAST,S
Moraceae,Sorocea,affinis,Hemsl.,SORA,SOROAF,S
Moraceae,Sorocea,pubivena_ss:oligotricha,,,SOROP1,NA
Moraceae,Sorocea,pubivena_ss:pubivena,,,SOROPU,NA
Marcgraviaceae,Souroubea,sympetala,Gilg,SOUS,SOURSY,LIANA
Malpighiaceae,Spachea,correae,,,SPACCO,M
Malpighiaceae,Spachea,membranacea,Cuatrec.,SPAM,SPACME,U
Bignoniaceae,Spathodea,campanulata,,,SPATCA,T
Loganiaceae,Spigelia,anthelmia,L.,SPIA,SPIGAN,NA
Anacardiaceae,Spondias,dulcis,,,SPONCY,NA
Anacardiaceae,Spondias,mombin,L.,SPOM,SPONMO,T
Anacardiaceae,Spondias,purpurea,L.,SPOP,SPONPU,M
Anacardiaceae,Spondias,radlkoferi,Donn. Sm.,SPOR,SPONRA,T
Rubiaceae,Stachyarrhena,heterochroa,,,STACDI,NA
Rutaceae,Stauranthus,perforatus,,,STAUPE,NA
Apocynaceae,Stemmadenia,alfari,,,STEMAL,S
Apocynaceae,Stemmadenia,grandiflora,(Jacq.) Miers,STEG,STEMGR,U
Apocynaceae,Stemmadenia,obovata,NA,NA,STEMOB,NA
Apocynaceae,Stemmadenia,sp.1,NA,NA,STEM1,NA
Apocynaceae,Stemmadenia,sp.3,NA,NA,STEM3,NA
Sterculiaceae,Sterculia,apetala,(Jacq.) H. Karst.,STEA,STERAP,T
Sterculiaceae,Sterculia,glauca,,,STERGL,T
Sterculiaceae,Sterculia,recordiana,,,STERRE,T
Sterculiaceae,Sterculia,sp.2,NA,NA,STER2,NA
Malpighiaceae,Stigmaphyllon,ellipticum,(Kunth) A. Juss.,STIE,STIGEL,LIANA
Malpighiaceae,Stigmaphyllon,hypargyreum,Triana & Planch.,STIH,STIGHY,VINE
Malpighiaceae,Stigmaphyllon,lindenianum,A. Juss.,STIL,STIGLI,LIANA
Malpighiaceae,Stigmaphyllon,puberum,(Rich.) A. Juss.,STIP,STIGPU,VINE
Bignoniaceae,Stizophyllum,inaequilaterum,Bureau & K. Schum.,STII,STIZIN,VINE
Bignoniaceae,Stizophyllum,riparium,(Kunth) Sandwith,STIR,STIZRI,LIANA
Loganiaceae,Strychnos,brachistantha,Standl.,STRB,STRYBR,LIANA
Loganiaceae,Strychnos,darienensis,Seem.,STRD,STRYDA,LIANA
Loganiaceae,Strychnos,panamensis,Seem.,STRP,STRYPA,LIANA
Loganiaceae,Strychnos,sp.1,NA,NA,STRY1,NA
Loganiaceae,Strychnos,toxifera,R.H. Schomb. ex Benth.,STRT,STRYTO,LIANA
Myrsinaceae,Stylogyne,turbacensis,(Kunth) Mez,STYS,STYLST,NA
Fabaceae:Papil.,Swartzia,aff.sumorum,,,SWARSU,NA
Fabaceae:Papil.,Swartzia,panamensis,Benth.,SWAP,SWARPA,M
Fabaceae:Papil.,Swartzia,simplex_var.grandiflora,(Sw.) Spreng.,SWA1,SWARS1,NA
Fabaceae:Papil.,Swartzia,simplex_var.ochnacea,(Sw.) Spreng.,SWA2,SWARS2,NA
Meliaceae,Swietenia,macrophylla,,,SWIEMA,T
Clusiaceae,Symphonia,globulifera,L. f.,SYMG,SYMPGL,T
Symplocaceae,Symplocos,panamensis,,,SYM1PA,NA
Arecaceae,Synechanthus,warscewiczianus,H. Wendl.,SYNW,SYNEWA,S
Myrtaceae,Syzygium,jambos,,,SYZYJA,U
Myrtaceae,Syzygium,malaccense,NA,NA,SYZYMA,NA
Bignoniaceae,Tabebuia,guayacan,(Seem.) Hemsl.,TABG,TAB1GU,T
Bignoniaceae,Tabebuia,ochracea,(Cham.) Standl.,TABO,TAB1OC,T
Bignoniaceae,Tabebuia,rosea,(Bertol.) A. DC.,TABR,TAB1RO,T
Bignoniaceae,Tabebuia,striata,,,TAB1ST,U
Apocynaceae,Tabernaemontana,arborea,Rose,TABA,TAB2AR,T
Apocynaceae,Tabernaemontana,divaricata,NA,NA,TAB2DI,NA
